brand,tier,rating,compound,text,date
エスティローダー,Luxury,7,1.0,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,7,1.0,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,7,1.0,アットコスメさんのプレゼント企画でいただきました。軽くて伸びのよいクリームで、顔全体に伸ばすとすぐにジュワッと肌に浸透していく感覚があります。保湿をうたうスキンケア商品はベタつくテクスチャーのものが多くて苦手なのですが、こちらのクリームはそういったベタつきはなくメイク前でも使いやすいと感じました。乾燥肌なので冬の保湿にはすごく気を使うのですが、こちらのクリームは軽いのに十分に保湿力もあって一日中乾燥感がありません。それどころかカサッとした肌がどんどん解けるように柔らかくなっていくのを日々感じます。勇心酒造さんのライスパワーには興味があって、ワンバイコーセーのセラムシールドも愛用しています。やっぱりいいですね。ライスパワーのおかげなのか乾燥肌が改善していくのを実感します。アクアチャージのクリームもこれはリピートするなと確信しています！,発売日：2024/9/13
エスティローダー,Luxury,7,1.0,アットコスメさんのプレゼント企画でいただきました。軽くて伸びのよいクリームで、顔全体に伸ばすとすぐにジュワッと肌に浸透していく感覚があります。保湿をうたうスキンケア商品はベタつくテクスチャーのものが多くて苦手なのですが、こちらのクリームはそういったベタつきはなくメイク前でも使いやすいと感じました。乾燥肌なので冬の保湿にはすごく気を使うのですが、こちらのクリームは軽いのに十分に保湿力もあって一日中乾燥感がありません。それどころかカサッとした肌がどんどん解けるように柔らかくなっていくのを日々感じます。勇心酒造さんのライスパワーには興味があって、ワンバイコーセーのセラムシールドも愛用しています。やっぱりいいですね。ライスパワーのおかげなのか乾燥肌が改善していくのを実感します。アクアチャージのクリームもこれはリピートするなと確信しています！,発売日：2024/9/13
エスティローダー,Luxury,4,0.0,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,4,0.0,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,7,1.0,だいすきです！ライスパワーが入っているので夜に使う化粧水として愛用しています！！夏に太陽を強く浴びたら水分がなくなっていそう！そんなときにライスパワーの力を使ってこのアクアチャージを使用します！,発売日：2024/9/13
エスティローダー,Luxury,7,1.0,だいすきです！ライスパワーが入っているので夜に使う化粧水として愛用しています！！夏に太陽を強く浴びたら水分がなくなっていそう！そんなときにライスパワーの力を使ってこのアクアチャージを使用します！,発売日：2024/9/13
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,2,-0.6667,他の方の指摘通り乾燥するこの価格帯だと微妙としか言えない毛穴カバーも言われるほどしないこのレベルは同じく二層式の国内大手各社の主力でELより半額で済むDS下地のどれでも可能レベル元々崩れないが売りのダブルウェアだから乾燥 仕方ないのかもしれませんが値段不相応真夏に普通肌から脂性肌の方や更年期の汗が止まらない方向けで乾燥肌の人は使えない下地です高かったけど捨てました良かった点は変なトーンアップしない日焼け止め臭くないそれだけですねDSの3000円台と同レベルなので敢えてこれを倍の値段でおすすめする必要性は感じませんちなみにESTEE LAUDERのクッション2種類と併せてこれですので他社ファンデーションと合わせるのなら大手DS下地よりダメだと思います,発売日：2024/3/1
エスティローダー,Luxury,2,-0.6667,他の方の指摘通り乾燥するこの価格帯だと微妙としか言えない毛穴カバーも言われるほどしないこのレベルは同じく二層式の国内大手各社の主力でELより半額で済むDS下地のどれでも可能レベル元々崩れないが売りのダブルウェアだから乾燥 仕方ないのかもしれませんが値段不相応真夏に普通肌から脂性肌の方や更年期の汗が止まらない方向けで乾燥肌の人は使えない下地です高かったけど捨てました良かった点は変なトーンアップしない日焼け止め臭くないそれだけですねDSの3000円台と同レベルなので敢えてこれを倍の値段でおすすめする必要性は感じませんちなみにESTEE LAUDERのクッション2種類と併せてこれですので他社ファンデーションと合わせるのなら大手DS下地よりダメだと思います,発売日：2024/3/1
エスティローダー,Luxury,2,-0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,2,-0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,2,-0.6667,他の方の指摘通り乾燥するこの価格帯だと微妙としか言えない毛穴カバーも言われるほどしないこのレベルは同じく二層式の国内大手各社の主力でELより半額で済むDS下地のどれでも可能レベル元々崩れないが売りのダブルウェアだから乾燥 仕方ないのかもしれませんが値段不相応真夏に普通肌から脂性肌の方や更年期の汗が止まらない方向けで乾燥肌の人は使えない下地です高かったけど捨てました良かった点は変なトーンアップしない日焼け止め臭くないそれだけですねDSの3000円台と同レベルなので敢えてこれを倍の値段でおすすめする必要性は感じませんちなみにESTEE LAUDERのクッション2種類と併せてこれですので他社ファンデーションと合わせるのなら大手DS下地よりダメだと思います,発売日：2024/3/1
エスティローダー,Luxury,2,-0.6667,他の方の指摘通り乾燥するこの価格帯だと微妙としか言えない毛穴カバーも言われるほどしないこのレベルは同じく二層式の国内大手各社の主力でELより半額で済むDS下地のどれでも可能レベル元々崩れないが売りのダブルウェアだから乾燥 仕方ないのかもしれませんが値段不相応真夏に普通肌から脂性肌の方や更年期の汗が止まらない方向けで乾燥肌の人は使えない下地です高かったけど捨てました良かった点は変なトーンアップしない日焼け止め臭くないそれだけですねDSの3000円台と同レベルなので敢えてこれを倍の値段でおすすめする必要性は感じませんちなみにESTEE LAUDERのクッション2種類と併せてこれですので他社ファンデーションと合わせるのなら大手DS下地よりダメだと思います,発売日：2024/3/1
エスティローダー,Luxury,2,-0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,2,-0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,5,0.3333,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,6,0.6667,プレゼント企画に当選し、使用させていただいています!使い始めて数日経ちました。ほんっとうに良いです。ここ最近はずっと肌の調子が良い状態が続いていて、正直何の不満もない肌状態でした。ですが、これを塗った翌朝、さらに上をいく肌状態になりました。朝起きてほっぺを触ったらいつもと触り心地がちがってさらに滑らかになっていて嬉しかったです。一日で良さが体感できたので、日常遣いというより、特別な予定の前に使いたいと私は思いました。匂いも私は特に気にならず、テクスチャーもべたつかず、素晴らしいです。,発売日：2024/9/13
エスティローダー,Luxury,6,0.6667,プレゼント企画に当選し、使用させていただいています!使い始めて数日経ちました。ほんっとうに良いです。ここ最近はずっと肌の調子が良い状態が続いていて、正直何の不満もない肌状態でした。ですが、これを塗った翌朝、さらに上をいく肌状態になりました。朝起きてほっぺを触ったらいつもと触り心地がちがってさらに滑らかになっていて嬉しかったです。一日で良さが体感できたので、日常遣いというより、特別な予定の前に使いたいと私は思いました。匂いも私は特に気にならず、テクスチャーもべたつかず、素晴らしいです。,発売日：2024/9/13
エスティローダー,Luxury,4,0.0,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
エスティローダー,Luxury,4,0.0,"容量・税込価格：5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",発売日：2026/3/6
