Year,Company,Tier,Revenue_USD_M
2022,Estée Lauder,Luxury,2199
2022,LVMH Perfumes & Cosmetics,Luxury,8136
2022,Kao Cosmetics,Mass,1815
2022,L'Oréal Consumer Products,Mass,14774
2022,Unilever Beauty & Wellbeing,Mass,12960
2022,L'Oréal Dermatological Beauty,Masstige,5399
2022,Kosé,Prestige,2199
2022,L'Oréal Luxe,Prestige,15423
2022,Shiseido,Prestige,8117
2023,Estée Lauder,Luxury,2138
2023,LVMH Perfumes & Cosmetics,Luxury,8947
2023,Kao Cosmetics,Mass,1790
2023,L'Oréal Consumer Products,Mass,16413
2023,Unilever Beauty & Wellbeing,Mass,13521
2023,L'Oréal Dermatological Beauty,Masstige,6958
2023,Kosé,Prestige,2138
2023,L'Oréal Luxe,Prestige,16144
2023,Shiseido,Prestige,6926
2024,Estée Lauder,Luxury,2132
2024,LVMH Perfumes & Cosmetics,Luxury,9111
2024,Kao Cosmetics,Mass,1728
2024,L'Oréal Consumer Products,Mass,17298
2024,Unilever Beauty & Wellbeing,Mass,14287
2024,L'Oréal Dermatological Beauty,Masstige,7606
2024,Kosé,Prestige,2132
2024,L'Oréal Luxe,Prestige,16875
2024,Shiseido,Prestige,6543
2025,Estée Lauder,Luxury,2207
2025,LVMH Perfumes & Cosmetics,Luxury,9236
2025,Kao Cosmetics,Mass,1631
2025,L'Oréal Consumer Products,Mass,18181
2025,Unilever Beauty & Wellbeing,Mass,14464
2025,L'Oréal Dermatological Beauty,Masstige,8141
2025,Kosé,Prestige,2207
2025,L'Oréal Luxe,Prestige,17622
2025,Shiseido,Prestige,6482
